Date,GBP-USD,USD-GPB
31/12/1990,1.784103,0.563375
31/12/1991,1.767354,0.567591
31/12/1992,1.766306,0.56949
31/12/1993,1.501607,0.666318
31/12/1994,1.531853,0.653307
31/12/1995,1.57847,0.633665
31/12/1996,1.56066,0.641388
31/12/1997,1.637635,0.610844
31/12/1998,1.657347,0.603486
31/12/1999,1.617681,0.618305
31/12/2000,1.514934,0.66141
31/12/2001,1.440089,0.694595
31/12/2002,1.499582,0.667971
31/12/2003,1.635499,0.612069
31/12/2004,1.832895,0.545861
31/12/2005,1.820271,0.550022
31/12/2006,1.842866,0.543416
31/12/2007,2.00156,0.499806
31/12/2008,1.855443,0.544573
31/12/2009,1.565394,0.641169
31/12/2010,1.545893,0.647491
31/12/2011,1.604123,0.623629
31/12/2012,1.584877,0.631109
31/12/2013,1.564768,0.63955
31/12/2014,1.647701,0.607353
31/12/2015,1.528504,0.654441
31/12/2016,1.355673,0.740559
31/12/2017,1.288611,0.776691
31/12/2018,1.334801,0.750148
31/12/2019,1.276933,0.783652
31/12/2020,1.284145,0.779494
31/12/2021,1.375083,0.727434
31/12/2022,1.237188,0.811347
31/12/2023,1.234873,0.810105
